ID	DIALOGUE_TEXT
01_KOA_SAD_SEQ_01	I... I think we lost them...
01_PAN_ANG_SEQ_01	We should... We should keep moving.
01_PAN_FE_SEQ_02	If they find us...
01_LIN_ANG_SEQ_01	We won't come back there.
01_LIN_NEU_SEQ_02	But let's get a rest. You all are exhausted.
01_TUC_SUR_SEQ_01	Why... Why aren't you so tired...?
01_CHA_DIS_SEQ_01	Foolish question.. He's a predator, that's why...
01_TUC_CON_SEQ_02	Lucky guy...
01_KOA_SAD_SEQ_02	So... what we do now?
01_TUC_NEU_SEQ_03	Those humans from the zoo are still looking for us...
01_TUC_NEU_SEQ_04	We can't stay here.
01_CHA_NEU_SEQ_02	Agreed. We have to move.
01_PAN_NEU_SEQ_03	Let's go to the mountains, we can hide there!
01_LIN_NEU_SEQ_03	You fool, there is the first place they're gonna look after us!
01_CHA_CON_SEQ_03	Oh, so you have a better idea, mister meat-eating?
01_LIN_NEU_SEQ_04	Does my diet matter something here, lizard?
01_TUC_HAP_SEQ_05	Wohoo, fight, fight, fight!
01_KOA_SAD_SEQ_03	Please, don't start fighting... we have to work togeth--
01_PAN_ANG_SEQ_04	Shut up, weakling! Just stay out of this!
01_KOA_SAD_SEQ_04	B-But...
01_CHI_SAD_SEQ_01	W-Waaaah!
01_PAN_ANG_SEQ_05	For bamboo's sake... keep your kid quiet!
01_PAN_ANG_SEQ_06	They are going to hear us, you dumb marsupial!
01_KOA_SAD_SEQ_05	I-I'm sorry...! Shh, shh, please, stay quiet sweety...
01_CHI_SAD_SEQ_02	S-Sniff...
01_CHA_DIS_SEQ_04	Jeez, it would have been better not bringing the baby with us...
01_KOA_ANG_SEQ_06	Don't you DARE saying that again, you cold lizard!
01_PAN_FEA_SEQ_07	A HUMAN! MAYDAY, MAYDAY!
01_CHA_CON_SEQ_05	Damn... our luck only gets worse...
01_TUC_SUR_SEQ_06	We have to run! Escape, escape!
01_PAN_FEA_SEQ_08	NO! IF IT RUNS AWAY, IT WILL TELL THEM WHERE WE ARE!
01_PAN_ANG_SEQ_09	LET'S HUNT THE HUMAN!
01_KOA_SUR_SEQ_07	A-Are you even listening to yourselves?
01_LIN_ANG_SEQ_05	... *Growls*
02_PRO_NEU_DTR_01	... [stay silent]
02_PRO_NEU_DTR_02	Hello?
02_PRO_FEA_DTR_03	Please, don't hurt me!
02_PAN_ANG_SEQ_01	Don't talk, human! We know your intentions!
02_PAN_ANG_SEQ_02	No one will fool us again!
02_LIN_NEU_SEQ_01	Maybe you should calm down first, Panda.
02_TUC_CON_SEQ_01	Yeah, there's no point in screaming and scaring the human.
02_CHA_DIS_SEQ_01	I don't want that fleeing and warning others of its own.
02_KOA_SAD_SEQ_01	Please, stop fighting... let's talk...
02_TUC_SUR_SEQ_02	Woah, woah! Relax, human!
02_KOA_NEU_SEQ_02	No one is going to hurt you, kiddo.
02_PAN_ANG_SEQ_03	Speak for yourselves, traitors.
02_PAN_ANG_SEQ_04	No human can be trusted. He's a threat!
02_PRO_SAD_DTR_04	Why are you fighting?
02_PRO_FEA_DTR_05	You are scaring me...
02_PRO_ANG_DTR_06	Hey, I'm a good kid!
02_PRO_SAD_DTR_07	Why are you mad at me?
02_PAN_ANG_SEQ_05	Because all of your type are slavers and barbarians!
02_KOA_ANG_SEQ_03	Panda! Just shut up, it's just a kid!
02_PAN_ANG_SEQ_06	Yeah, the worst kind of human!
02_PAN_ANG_SEQ_07	We have to get rid of it right now!
02_CHA_DIS_SEQ_02	Weird assumption coming from one of the species that had us as their slaves.
02_TUC_SUR_SEQ_03	But it's kinda funny, he looks... too small?
02_KOA_ANG_SEQ_04	Because it's a child, you rude people!
02_PAN_ANG_SEQ_08	FOR THE BAMBOO'S SAKE, FOCUS ON THE MAIN POINT!
02_PAN_FEA_SEQ_09	HE'S A THREAT, A BARBARIAN!
02_PAN_ANG_SEQ_10	WE HAVE TO GET RID OF IT!
02_LIN_NEU_SEQ_02	*sigh* Dude, just shut up, please.
02_PRO_ANG_DTR_08	You are being very rude...
02_PRO_SAD_DTR_09	Believe me, I don't want problems...
02_PAN_ANG_SEQ_11	See? No words! I was right about it's guilt!
02_CHA_NEU_SEQ_03	I think you are just being too abrassive.
02_CHA_CON_SEQ_04	The human can't even talk with so much blabbering of yours.
02_TUC_NEU_SEQ_04	Hey, human! Answer something!
02_TUC_CON_SEQ_05	Are you going to be a threat to us?
02_PAN_ANG_SEQ_99	See!?
02_CHA_DIS_SEQ_99	Huh, sketchy.
02_TUC_CON_SEQ_99	Yyyyeh human, at least give us something to work.
02_PAN_ANG_SEQ_12	We can't trust humans! Specialy little demons like you!
02_KOA_ANG_SEQ_05	Panda, that's enough. The kid is clearly no threat to us.
02_LIN_ANG_SEQ_03	Yeah. Just shut up already.
02_PAN_FEA_SEQ_13	B-But...!
02_CHA_NEU_SEQ_05	Before anyone decides anything, there is something I want to know.
02_CHA_NEU_SEQ_06	What are you doing here, if you aren't spying on us?
02_PRO_SAD_DTR_10	I just got lost...
